post_timestamp,post_title,post_content
2024-11-23 15:09:35,몽골 직빨 섹터3에서 무너지네 ㅋㅋㅋ,ㅋㅋㅋ
2024-11-23 15:09:37,레드불 초비상,
2024-11-23 15:09:44,대 노 다,ㄷㄷㄷ
2024-11-23 15:09:46,대노다 ㄷㄷ,
2024-11-23 15:09:48,대노다 ㅋㅋㅋㅋ,ㅋㅋㅋㅌ
2024-11-23 15:09:49,츠밑막ㅋㅋㅋ,- dc official App
2024-11-23 15:09:50,대노다 ㄷㄷ,ㄷㄷ
2024-11-23 15:09:51,르끌 뭐노ㅋㅋㅋㅋㅋㅋ,- dc official App
2024-11-23 15:09:51,349 ㅅㅂ ㅋㅋㅋㅋ,
2024-11-23 15:09:52,진짜 레드불 ㅋㅋㅋㅋㅋ,
2024-11-23 15:09:53,알비 ㅋㅋㅋㅋㅋㅋㅋ,
2024-11-23 15:09:54,황 노 다,
2024-11-23 15:09:56,대노다 ㅋㅋㅋㅋ,ㅋㅋㅋ
2024-11-23 15:10:02,킹황짱노다 컄ㅋㅋㅋ,
2024-11-23 15:10:02,황노다가 몽골을 참교육,
2024-11-23 15:10:03,츠밑몽ㅋㅋㅋㅋㅋ,
2024-11-23 15:10:10,저따구면 RB한테 부품 받아오는게 더 빠르겠다ㅋㅋㅋㅋㅋ,
2024-11-23 15:10:14,페하리도 망햇노,
2024-11-23 15:10:17,대 노 다>>>좆 몽 골,ㄷㄷ
2024-11-23 15:10:17,그냥 막스가 노리스 박으면 드챔아님?,ㅇㅇ
2024-11-23 15:10:17,대 황 끌,
2024-11-23 15:10:18,대황끌 ㅅㅅㅅ,캬
2024-11-23 15:10:20,드래그 얼마나 심하면 0.2초정도 벌어지냐,"깎은게 드래그 이정도인데 안깎았으면 ㄷㄷ
- dc official App"
2024-11-23 15:10:20,황 끌 레 르 ㅋㅋㅋㅋㅋㅋㅋ,
2024-11-23 15:10:22,황끌레르ㅅㅅㅅㅅㅅ,- dc official App
2024-11-23 15:10:23,대황끌 ~~~~~,
2024-11-23 15:10:24,캬,- dc official App
2024-11-23 15:10:25,우리퍼스트 ㅋㅋㅋㅋㅋㅋㅋㅋ,대끌레
2024-11-23 15:10:25,1위 ㅋㅋㅋ,
2024-11-23 15:10:25,RB가 1군이고ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
2024-11-23 15:10:27,❗+❗+레드불 요약❗+❗+,
2024-11-23 15:10:28,대 황 끌,캬
2024-11-23 15:10:28,대황끌 ㅅㅅㅅㅅㅅㅅㅅ,
2024-11-23 15:10:30,신 강림.,- dc official App
2024-11-23 15:10:30,황끌 ㅅㅅㅅ,
2024-11-23 15:10:38,대 황 끌,ㅅㅅㅅㅅㅅㅅ
2024-11-23 15:10:39,대 황 끌,"황 라 리 의 주말
- dc official App"
2024-11-23 15:10:40,대 황 끌 ㅅㅅ,- dc official App
2024-11-23 15:10:40,잇츠 모빈 타임ㅋㅋㅋ,ㅋㅋ
2024-11-23 15:10:41,조커갑ㅋㅋㅋㅋ,
2024-11-23 15:10:42,예수님 입갤 ㄷㄷ,ㄷㄷ
2024-11-23 15:10:49,모비우스 ㅋㅋ,ㅋㅋ
2024-11-23 15:10:51,퀄리 지금이였네,놓칠뻔
2024-11-23 15:10:51,트랙 온도 오늘 많이 낮음?,
2024-11-23 15:10:53,와 단발 누나 ㅈㄴ이쁘노,- dc official App
2024-11-23 15:10:55,모빈타임 입갤 뭐노,지쟈스
2024-11-23 15:10:55,지금 쿨다운랩 하면서 피트 안들어가고 계속 도전하는거?,타이어 예열이 잘 안돼서 그러냐
2024-11-23 15:10:56,대황끌 미쳤네,
2024-11-23 15:10:57,대아제 ㅋㅋㅋㅋ,개꿀잼이다
2024-11-23 15:10:57,피아제 존나빠르네 씹 ㅋㅋㅋㅋㅋ,
2024-11-23 15:10:59,rb가 레드불 파츠 가져갔는데 레드불도 rb 파츠 몇 개 가져가라,ㄱㄱ
2024-11-23 15:11:03,와 대아제,일내나
2024-11-23 15:11:03,대아제 ㅋㅋㅋ,- dc official App
2024-11-23 15:11:03,맥 개빠르네 ㄹㅇ,- dc official App
2024-11-23 15:11:05,역사상 최고의 조커 배우 GOAT 입갤ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
2024-11-23 15:11:06,맥라렌의 참교육 ㅋㅋ,
2024-11-23 15:11:13,이거 트랙 에볼루션 ㅈ되는거아님?,기록들이 점점 빨라지는데?
2024-11-23 15:11:13,맹라렌 진짜 존나 빠르네,0.5초는 시발ㅋㅋ
2024-11-23 15:11:19,스피어 ㅋㅋㅋㅋㅋ,
2024-11-23 15:11:22,사적사 ㅋㅋㅌ,ㅋㅋㅋ
2024-11-23 15:11:27,맥라렌 시발 대체 뭘 가져온거냐,
2024-11-23 15:11:27,스피어 졸귀 ㅋㅋㅋ,
2024-11-23 15:11:28,가장 큰 적은 나 자신..,"ㅈ간지ㄷㅇ
- dc official App"
2024-11-23 15:11:29,자신과의 싸움 ㅋㅋ,
2024-11-23 15:11:32,눈깔 따라가는거 존나 무섭네 ㅋㅋㅋㅋ,ㅅㅂ
2024-11-23 15:11:33,맥라렌 원투시,앙기모띠
2024-11-23 15:11:36,저 라스베가스 동그란 건물 개귀엽네 ㅋㅋ,릴스로 여러번 본 기억이
2024-11-23 15:11:36,ㅈㄴ커엽노 스피어 ㅋㅋ,- dc official App
2024-11-23 15:11:55,토-잉 ㅋㅋ,
2024-11-23 15:11:57,와 개빠르다 ㅋㅋㅋㅋㅋ,
2024-11-23 15:11:59,스립스트림 낭낭하게 타노 ㅋㅋ,
2024-11-23 15:12:06,토잉보소ㅋㅋ,.
2024-11-23 15:12:06,352 ㄷㄷ,
2024-11-23 15:12:16,전략은 대라리,
2024-11-23 15:12:17,벌슈타펜 달린다!!!,
2024-11-23 15:12:20,몽골 정신차렸나?,- dc official App
2024-11-23 15:12:22,사인츠 굿,
2024-11-23 15:12:25,토잉 야무지네 ㅋㅋㅋㅋㅋ,
2024-11-23 15:12:26,대인츠 캬,ㅅㅅ
2024-11-23 15:12:29,오 사인츠,- dc official App
2024-11-23 15:12:29,사인츠 ㅅㅅ,- dc official App
2024-11-23 15:12:33,대아제 ㅋㅋㅋ,
2024-11-23 15:12:33,저렇게 토 받았는데 피아제보다 좀 느리네,
2024-11-23 15:12:37,토우 받고 달렸는데 걍 달린 피아제가 더 빠르네 ㅅㅂ,
2024-11-23 15:12:43,레드불 ㅈ됐어 ㅋㅋ,
2024-11-23 15:12:50,막붕이씨바끜ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
2024-11-23 15:12:50,토잉받고도 P1못찍네,허어
2024-11-23 15:12:55,황노다 344 ㅋㅋ,대황
2024-11-23 15:12:57,맥라렌 너무 센데 스읍,
2024-11-23 15:13:04,람비아제 왜 모자 뒤집어썻냐ㅋㅋㅋㅋㅋ,
2024-11-23 15:13:09,대황셀 1등,
2024-11-23 15:13:12,쥬지 샷 ㅋㅋㅋ,
2024-11-23 15:13:12,대러셀,- dc official App
2024-11-23 15:13:13,러셀 기습 1위 ㅋㅋ,
2024-11-23 15:13:17,레드불 엔지니어는 소라게모드네,쏘옥
2024-11-23 15:13:22,엉뜨의 힘 ㄷㄷㄷ,대메르
2024-11-23 15:13:22,대쥬지 뭔데,
2024-11-23 15:13:25,대물쥬지 P1ㄷㄷㄷ,
2024-11-23 15:13:29,르끌 자이로캠이네,
2024-11-23 15:13:33,르끌만 느려 왜,
2024-11-23 15:13:41,르끌 이번랩은 트래픽땜에 기록 아쉽네,
2024-11-23 15:13:45,슨트롤은 차 못고쳣네,
2024-11-23 15:13:44,체황 Q1딱 가나?,
2024-11-23 15:13:46,쥬지 걍 우승하자 ㄹㅇ,ㅇ
2024-11-23 15:13:50,드디어 하스가 움직인다,ㄱㄱ
2024-11-23 15:13:52,르글럭 오늘 자이로네,저번에도 르끌이 한번 썼던거같은데
2024-11-23 15:13:53,맥라렌 빠르네 ㄷㄷ,
2024-11-23 15:13:58,직선코스 개발리네..,- dc official App
2024-11-23 15:13:59,대황끌 ㅅㅅㅅㅅ,굳굳
2024-11-23 15:14:01,트롤 못 나오나보네,
2024-11-23 15:14:01,대끌 ㅋㅋㅋㅋ,ㅋㅋㅋㅋ
2024-11-23 15:14:03,르끌 굿 p2,
2024-11-23 15:14:04,오 황끌레,- dc official App
2024-11-23 15:14:05,르끌 2위 ㄷㄷ,
2024-11-23 15:14:06,도련놈 레드플래그 냈던거 수리못함?,왜안나와
2024-11-23 15:14:07,르끌 트래픽만 아니였어도,
2024-11-23 15:14:11,대끌레ㄷㄷㄷㄷㄷ,ㄷㄷㄷ
2024-11-23 15:14:13,맥라렌 존나 쎄네,"페라리 컨챔은 힘들려나 ㅠ
- dc official App"
2024-11-23 15:14:21,페라리 온보드 마음에 드네,속도감이 전에비해 많이늘어남
2024-11-23 15:14:25,페레즈만ㅋㅋㅋㅋ,ㅋㅋ
2024-11-23 15:14:37,케로 체코 고로시 ㅋㅋㅋ,
2024-11-23 15:14:40,페레즈야 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,제발 ㅋㅋㅋㅋㅋㅋ
2024-11-23 15:14:42,하스 뭐하노??,
2024-11-23 15:14:49,4강인데 왜 탑텐이 어렵죠?,4강에 한팀당 드라이버 두명이면 탑 에잇이 정상 아닌가요????
2024-11-23 15:14:50,에펠탑 있는거 보니까 알핀 홈그랑프리네,알핀 우승가보자~~!
2024-11-23 15:14:50,하스 왜저럼,아깐 잘하더니
2024-11-23 15:14:52,"""탑4 중 페레즈만 탑10에 들기 어려워 보인다""",왜곡 없음
2024-11-23 15:14:55,레이싱 포인트 ㅋㅋㅋㅋ,ㅋㅋ
2024-11-23 15:15:06,돌아온 레이싱포인트,
2024-11-23 15:15:06,체코는 ㄹㅇ 대단하네,ㄹㅇ
2024-11-23 15:15:25,하스 ㄱㅊ한데,
2024-11-23 15:15:32,체황 설마 또?,
2024-11-23 15:15:34,딱 요즘 하스 기록,
2024-11-23 15:15:34,도련놈 왜저럼?,연습때 사고라도남?
2024-11-23 15:15:40,설마 병신 q1딱 하는거 아니제?,- dc official App
2024-11-23 15:15:44,"""대체 노쪽이 퍼스트로 무슨 드챔을 노리겠다고""","계속 팀 오더를 요구하는지도 모르겠지만
오더 내려줘도 스타트 병신이 너희들의 퍼스트"
2024-11-23 15:15:45,체황 설마 또 Q1딱?,
2024-11-23 15:15:46,체황 보여주나?!,"q1딱 보여주나?!
- dc official App"
2024-11-23 15:15:46,저우 레저늗,
2024-11-23 15:15:51,병신 Q1딱인가,ㅋㅋㅋㅋㅋ
2024-11-23 15:15:54,체황 파멸의 q1딱 레츠고,ㄱㄱㄱㄱ
2024-11-23 15:15:56,자우버보다 느리면 어떡하니,레드불 정상화는 체황
2024-11-23 15:16:00,갤주님 또 q1딱이냐,ㅋㅋ
2024-11-23 15:16:04,병신 왜 랩 기록 안함??,
2024-11-23 15:16:06,저우 q2가냐 제발,제발
2024-11-23 15:16:08,콜라는 한번도 웜업 랩인가,
2024-11-23 15:16:08,야 씨발 18위는 솔직히 아니 시발,
2024-11-23 15:16:09,막스 ㅅㅂㅋㅋㅋ,
2024-11-23 15:16:09,에이 설마 또 Q1딱을,상식적으로 인간이면ㅋㅋㅋㅋㅋ
2024-11-23 15:16:10,막스 1위 ㅅㅅㅅㅅㅅㅅㅅㅅ,
2024-11-23 15:16:10,대 몽 골,
2024-11-23 15:16:12,막삳 ㄷㄷㄷㄷ,ㄷ
2024-11-23 15:16:12,막스 기습 p1 ㅋㅋㅋㅋ,
2024-11-23 15:16:13,아......,- dc official App
2024-11-23 15:16:13,체황 라스트랩 드가자~~,
2024-11-23 15:16:16,대몽골ㅋㅋㅋㅋ,- dc official App
2024-11-23 15:16:15,대 몽 골ㄷㄷㄷㄷㄷㄷㄷ,ㄷㄷㄷㄷㄷ
2024-11-23 15:16:16,막스 미친놈 ㅋㅋㅋ,와
2024-11-23 15:16:17,막가놈 걱정은 하는거 아니다ㅋㅋㅋㅋㅋㅋ,
2024-11-23 15:16:20,저우 미친 ㅋㅋㅋ,- dc official App
2024-11-23 15:16:21,미친 몽골리안새끼,
2024-11-23 15:16:21,어 ㅈ까 ㅋㅋㅋㅋㅋㅋ,
2024-11-23 15:16:22,오콘 왤캐 쳐느리지,뭔데
2024-11-23 15:16:23,대 막 스 ㄷㄷㄷ,ㄷㄷ
2024-11-23 15:16:24,막스 기습일등ㄷㄷ,- dc official App
2024-11-23 15:16:24,대 몽 골,하 ㅋㅋ
2024-11-23 15:16:27,몽골호로섹스폴출발ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
2024-11-23 15:16:32,몽골 미친놈ㅋㅋㅋㅋㅋㅋㅋㅋ,
2024-11-23 15:16:34,막가놈 온몸비틀기 ㅋㅋ,
2024-11-23 15:16:40,어 형이야.,4연챔(예정) 막스 형이야.
2024-11-23 15:16:42,리어윙 저지랄 나고도 어케든 기록 쳐만드네 ㅋㅋㅋ,머하는 새끼냐 진짜
2024-11-23 15:16:43,체코 제발 트래픽,
2024-11-23 15:16:44,체코 또 Q1딱하나?,- dc official App
2024-11-23 15:16:45,앞에서 봐도 뒤에서 봐도 레드불 1등 ㄷ,
2024-11-23 15:16:45,보타스보다 느린건 ㅋㅋㅋㅋ,
2024-11-23 15:16:47,체황 ㅋㅋㅋ,
2024-11-23 15:16:47,보타스보다 느렸다,
2024-11-23 15:16:48,아니 가내수공업 윙이 진짜 통한다고?,어케했노
2024-11-23 15:16:49,보타스보다 느리면 시발아;;;,;;
2024-11-23 15:16:49,뭐야 주관유 설마 Q2 감?,아 ㅋㅋㅋ
2024-11-23 15:16:51,보타스보다 섹터1 느린건 ㄹㅇ 공포네,
2024-11-23 15:16:51,대체코 Q1딱 각인데?,ㅋㅋㅋㅋ
2024-11-23 15:16:54,막스는 1위 병신은 18위,에휴 시발
2024-11-23 15:16:59,막가놈 똥꼬쇼하네ㅋㅋㅋ,어케했노
2024-11-23 15:17:01,짱깨 Q2 가겠노,시즌중에나 잘하지 다 끝나가는데 이제 잘하면 어떡함
2024-11-23 15:17:05,섹터타임 초록색인데 보타스보다 느림 ㅋㅋㅋㅋㅋ,
2024-11-23 15:17:07,병신 진짜 ㅋㅋㅋㅋ,"돈주고 시트 샀는데
바로 Q1딱 하겠네
- dc official App"
2024-11-23 15:17:13,잠깐 한눈팔고 있었더니 막스 왜 1위임?,이번엔 레드불 성능 별로인가 했는데 왜 1위가있지
2024-11-23 15:17:14,근데 보타스 에너지 반밖에 안쓰네 와저러노,"반도 안썼노
- dc official App"
2024-11-23 15:17:17,대 관 우,- dc official App
2024-11-23 15:17:22,체황 눈물의 레이스ㅠㅠ,"이겨야한다..!
- dc official App"
2024-11-23 15:17:23,주관유 Q2 얼마만에 가는거냐?,ㅈㄴ 오랜만같은데
2024-11-23 15:17:29,오늘 몽골 폴이면 ㄹㅇ 쌉인정한다,ㄹㅇ
2024-11-23 15:17:32,물탕이 속도 뭐임,
2024-11-23 15:17:34,트랙 도미넌스 꼬라지 ㅋㅋㅋㅋ,- dc official App
2024-11-23 15:17:38,진짜병신저씨발새끼좀잘라라씨발,제발꺼져 좀 씨발!!!!!!
2024-11-23 15:17:43,알밑페 ㅋㅋㅋ,병신....
2024-11-23 15:17:44,윌한테 직빨 다 따이네 씹 ㅋㅋㅋ,
2024-11-23 15:17:49,12위 ㅋㅋㅋㅋㅋㅋ,
2024-11-23 15:17:50,쥬지 달린다,
2024-11-23 15:17:52,체코 진짜 노답이네 ㅋㅋㅋ,"그냥 기량에 존나게 떨어진다고 밖에
- dc official App"
2024-11-23 15:17:53,체코 진짜 좆됐는데,
2024-11-23 15:17:53,대체코 12  ㅋㅋ,흠
2024-11-23 15:17:54,어떻게 같은차인데 한놈은 P1 한놈은 Q1 ㅋㅋ,ㅋㅋ
2024-11-23 15:17:55,저우보다 느린 체콬ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2024-11-23 15:17:58,쥬지 퍼플 캬 ㅋㅋㅋ,ㅋㅋ
2024-11-23 15:17:57,페레즈 더 못달리잖아 q1딱 각인데,
2024-11-23 15:17:58,저우보다 느린건 진짜 병신이네 ㅋㅋㅋㅋ,ㅅㅂㅋㅌㅌㅌ
2024-11-23 15:17:59,도련놈은 아에 나오지도 않네 ㅋㅋㅋ,뭐 차에 문제 있는거야 아니면 그냥 배 째라는거야 ㅋㅋ
2024-11-23 15:18:03,체코 병신ㅋㅋㅋㅋㅋ,"ㅋㅋㅋㅋㅋㅋㅋ
- dc official App"
2024-11-23 15:18:04,스트롤 성님 제발 체코 q1딱 시켜주세요,"ㅈㅂ
- dc official App"
2024-11-23 15:18:07,쥬지 퍼플 ㄱㄱ,
2024-11-23 15:18:09,저밑체 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,"ㅋㅋㅋㅋㅋ
- dc official App"
2024-11-23 15:18:08,자지 개빠르네 ㄹㅇ,
2024-11-23 15:18:10,이젠 Q1딱이냐 병신새끼 진짜,ㅅㅂ
2024-11-23 15:18:11,쥬지 개또라이네ㅋㅋㅋ,ㅋ
2024-11-23 15:18:12,대쥬지,
2024-11-23 15:18:12,러셀 뭐노ㅋㅋㅋ,- dc official App
2024-11-23 15:18:16,ㄷㅐ황셀 퍼플 ㅋㅋㅋㅋㅋㅋ,ㄷ
2024-11-23 15:18:17,보라쥬지ㄷㄷㄷ,
2024-11-23 15:18:18,러셀 올퍼플 기냐??,
2024-11-23 15:18:17,쥬지 풀발중 ㄷㄷ,
2024-11-23 15:18:19,메르 뭔데,오
2024-11-23 15:18:20,몽골이차빨인이유ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,"수제작
코치빌더이새끼야ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
2024-11-23 15:18:23,똠병신 트랙 도미넌스.jpg,
2024-11-23 15:18:24,페레즈 위 저우는 ㅋㅋㅋㅋ,- dc official App
2024-11-23 15:18:24,대쥬지 미친질주중ㅋㅋㅋㅋ,
2024-11-23 15:18:27,자지 쥰나 달려라,
2024-11-23 15:18:29,쥬지 올퍼플 가냐???,???
2024-11-23 15:18:33,대물탕 ㅋㅋㅋㅋㅋㅋ,
2024-11-23 15:18:33,대밀턴 ㅋㅋㅋ,캬
2024-11-23 15:18:34,체황 저우한테도 지노ㅋㅋㅋㅋㅋ,"ㅋㅋㅋ
- dc official App"
2024-11-23 15:18:33,대물탕 ㅋㅋㅋㅋㅋㅋ,
2024-11-23 15:18:38,메르 시발 ㅋㅋㅋㅋㅋㅋ 뭐노,ㄷㄷㄷ
2024-11-23 15:18:40,올해 알던 메르가 아닌데 ㅋㅋㅋㅋ,
2024-11-23 15:18:42,메르 미쳤노 그냥 ㅋㅋㅋㅋ,ㅅㅂ ㅋㅋㅋㅋㅋ
2024-11-23 15:18:43,대황메르 원투 ㅋㅋㅋㅋㅋㅋㅋ,
2024-11-23 15:18:43,올퍼플 ㄲㅂ,
2024-11-23 15:18:43,메르듀오 이궈궈던,ㄹㅇ
2024-11-23 15:18:43,대 메 르,- dc official App
2024-11-23 15:18:44,메르 미쳤나 ㅋㅋㅋ,
2024-11-23 15:18:46,레전드 ㅌㅌㅌㅌㅌㅋ,
2024-11-23 15:18:50,메르 원투 ㅁㅊ,ㄷ
2024-11-23 15:18:53,메르 치매걸렸나 왜 빠름ㅋㅋ,
2024-11-23 15:18:54,실버에로우 섹스ㅋㅋㅋ,캬
2024-11-23 15:18:54,대메르,잘한다
2024-11-23 15:18:55,메르의 기상ㄷㄷㄷ,ㄷㄷㄷ
2024-11-23 15:18:57,오 콜라,굿
2024-11-23 15:18:57,32초 보겠네,개빠르네
2024-11-23 15:18:58,메르 지리네ㅋㅋㅋㅋㅋㅋ,"다들 준비 ㅈㄴ 해왓다
- dc official App"
2024-11-23 15:18:58,도련놈 나왔네,오
2024-11-23 15:18:59,어어 체황,
2024-11-23 15:19:03,체코 쭉쭉 떨어진다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
2024-11-23 15:19:05,메르 개같이 부활 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,21이전 메르 복귀 ㄷㄷ
2024-11-23 15:19:07,병신 드가자,
2024-11-23 15:19:07,페레스와 저우관위의 휠투휠이 이뤄집니다!,"14번 코너에서 추월을 시도하는 페레스! 하지만 추월에 실패합니다.
세르히오 페레스! 18위로 경기를 마무리합니다."
2024-11-23 15:19:08,슨트롤 나왔네????,어떻게했냐
2024-11-23 15:19:09,체코 비상!!!,
2024-11-23 15:19:12,체코 사망ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
2024-11-23 15:19:13,오늘도 외쳐본다,"병!
신!
Q1 탈락!"
2024-11-23 15:19:13,스트롤 똥꼬쇼 시발 ㅋㅋㅋㅋㅋ,
2024-11-23 15:19:14,병신 탈락 ㅋㅋㅋㅋㅋㅋㄱㅋ,
2024-11-23 15:19:14,대노다 래츠고 ㅋㅋ,
2024-11-23 15:19:14,체코 Q1딱 확정 씨발 ㅋㅋㅋㅋ,
